article,authorid,age,field,sex
1,2224,5,eco,1
1,2224,5,med,1
2,2252,4,eco,1
2,2252,5,eco,1
1,2254,7,eco,2
1,2269,3,other,2
1,2271,3,eco,2
1,2271,3,other,2
1,2271,4,eco,2
1,2277,2,med,1
1,2277,4,eco,1
3,2277,4,med,1
1,2277,4,other,1
1,2296,9,other,1
2,2297,9,other,1
1,2299,9,other,1
1,2301,5,eco,1
1,2301,5,other,1
1,2303,4,other,2
2,2306,4,other,2
1,2308,6,other,1
1,2311,4,med,2
2,2311,4,other,2
1,2324,6,med,2
1,2372,3,eco,2
4,2375,3,med,2
5,2375,3,other,2
1,2377,2,med,2
1,2377,2,other,2
1,2409,4,edu,2
1,2412,5,other,2
1,2440,3,med,1
1,2444,5,other,2
1,2445,5,other,2
1,2446,4,other,2
1,2447,5,other,1
1,2450,5,other,1
1,2451,5,other,1
2,2461,9,other,1
2,2465,5,other,1
1,2466,5,other,1
2,2477,8,other,1
1,2498,5,eco,1
1,2499,4,eco,2
2,2516,4,eco,1
1,2521,3,eco,1
1,2525,5,eco,2
1,2528,6,eco,1
1,2531,3,eco,2
1,2531,4,eco,2
1,2533,2,eco,2
1,2559,3,other,2
1,2564,2,eco,1
2,2564,2,other,1
1,2564,3,other,1
1,2575,3,eco,2
1,2583,5,eco,1
3,2630,5,other,1
1,2664,6,other,1
1,2664,7,other,1
1,2665,3,other,2
1,2666,4,other,1
2,2666,5,other,1
1,2667,5,other,1
1,2667,6,other,1
1,2667,7,other,1
1,2668,2,other,2
1,2670,9,other,1
2,2674,4,eco,2
1,2674,4,edu,2
1,2674,5,eco,2
1,2674,5,edu,2
2,2681,5,edu,2
1,2682,9,edu,2
3,2685,6,other,2
1,2686,8,other,2
1,2688,3,other,1
1,2692,4,edu,2
1,2692,4,other,2
2,2693,4,edu,2
2,2694,3,other,2
1,2700,4,eco,2
1,2700,4,other,2
1,2701,5,med,1
1,2701,5,other,1
1,2703,2,med,2
1,2703,2,other,2
4,2708,3,other,1
10,2708,4,other,1
1,2708,5,other,1
4,2711,1,eco,2
1,2711,1,edu,2
1,2711,1,med,2
2,2711,1,other,2
2,2711,2,eco,2
1,2711,2,other,2
2,2712,2,edu,2
1,2714,2,other,1
7,2714,3,eco,1
2,2714,3,edu,1
15,2714,3,other,1
2,2714,4,eco,1
1,2714,4,edu,1
1,2714,4,other,1
1,2715,5,eco,2
4,2715,6,eco,2
1,2715,6,edu,2
1,2715,6,other,2
3,2716,6,eco,1
1,2716,6,other,1
1,2716,7,eco,1
1,2716,7,edu,1
13,2717,3,eco,1
5,2717,3,edu,1
5,2717,3,other,1
1,2718,3,eco,2
