article,authorid,field,sex
2,5970,eco,1
6,5970,med,1
13,5971,med,1
1,5971,other,1
3,5974,eco,2
29,5974,med,2
2,5974,other,2
6,5975,med,2
3,5980,med,1
1,5985,edu,1
2,5991,other,1
1,5994,eco,2
2,5994,other,2
1,5997,eco,2
1,5998,eco,2
6,5999,other,2
2,6000,eco,1
2,6000,other,1
8,6001,eco,1
12,6001,other,1
20,6003,eco,1
29,6003,other,1
3,6004,eco,2
2,6005,edu,1
1,6006,edu,1
1,6006,other,1
3,6012,eco,1
9,6012,other,1
1,6015,eco,2
1,6015,other,2
1,6017,other,1
1,6021,eco,2
2,6021,other,2
4,6028,eco,1
1,6028,edu,1
2,6030,eco,1
1,6033,eco,1
1,6034,eco,2
7,6035,eco,1
3,6036,eco,1
3,6036,other,1
4,6039,eco,1
1,6043,med,2
2,6043,other,2
1,6045,med,1
1,6045,other,1
1,6047,med,2
1,6047,other,2
1,6048,med,2
1,6048,other,2
1,6049,eco,1
1,6051,other,2
1,6054,eco,1
1,6054,other,1
1,6055,eco,2
1,6056,eco,2
1,6056,other,2
1,6058,eco,1
1,6059,eco,1
1,6060,other,2
1,6061,other,2
2,6062,other,1
1,6068,eco,1
1,6070,other,1
1,6082,other,1
3,6085,edu,2
1,6089,eco,2
1,6091,eco,1
3,6092,eco,2
4,6094,eco,1
8,6097,other,2
8,6100,eco,2
3,6100,edu,2
5,6100,other,2
7,6105,med,2
1,6105,other,2
7,6106,med,2
1,6106,other,2
1,6109,eco,2
18,6109,med,2
2,6109,other,2
9,6110,med,2
1,6110,other,2
2,6111,med,2
1,6111,other,2
2,6117,med,2
1,6118,eco,2
1,6118,med,2
2,6120,eco,1
25,6120,med,1
2,6120,other,1
1,6122,other,2
1,6123,other,2
8,6124,med,2
1,6124,other,2
1,6126,other,2
1,6130,other,1
2,6133,other,1
4,6135,other,2
14,6136,other,1
1,6137,other,2
1,6147,eco,2
2,6149,other,1
1,6150,eco,1
1,6153,eco,1
4,6153,other,1
1,6156,other,1
4,6157,other,2
1,6159,eco,2
1,6160,med,2
1,6161,med,2
1,6163,med,2
1,6164,eco,2
2,6167,other,1
2,6170,other,1
3,6173,other,1
6,6175,other,1
1,6177,other,1
2,6178,eco,1
2,6178,other,1
3,6182,eco,1
3,6182,other,1
4,6185,edu,2
1,6185,other,2
1,6197,eco,2
3,6198,eco,1
1,6201,eco,2
5,6202,eco,2
3,6211,eco,2
5,6211,med,2
4,6212,eco,1
15,6212,med,1
2,6212,other,1
2,6213,eco,1
4,6213,med,1
1,6216,edu,1
3,6217,edu,1
2,6224,eco,2
5,6224,med,2
2,6225,eco,1
10,6225,med,1
2,6226,eco,1
18,6226,med,1
1,6226,other,1
1,6239,eco,1
1,6239,edu,1
1,6240,med,2
